Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
07N13313		USA	AZ	Cibola	33.37	-114.68	Breeding	JUN	30	2007	1
07N13314		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	10	2007	1
07N13315		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	12	2007	1
07N13316		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	12	2007	1
07N13317		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	12	2007	1
07N13545		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	10	2007	1
07N13546		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	10	2007	1
07N13547		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	10	2007	1
07N13548		USA	AZ	Cibola	33.37	-114.68	Breeding	JUL	10	2007	1
07N13549		USA	AZ	Cibola	33.37	-114.68	Breeding	AUG	4	2007	1
07N13550		USA	AZ	Cibola	33.37	-114.68	Breeding	AUG	4	2007	1
10N16907	Jodi Issacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	26	2010	2
10N16908	Jodi Issacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	26	2010	2
11N0187	Jodi Issac	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	26	2011	2
11N0203	Jodi Issac	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	31	2011	2
11N0204	Jodi Issac	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	31	2011	2
13N0516	Jodi Isaacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	JUN	5	2013	2
14N0022	Jodi Isaacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	13	2014	2
14N0035	Jodi Isaacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	27	2014	2
14N0036	Jodi Isaacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	27	2014	2
15N0228	Jodi Issacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	5	2015	2
15N0229	Jodi Issacs	USA	CA	San Luis Obispo	35.19	-120.49	Breeding	MAY	11	2015	2
09N12511	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	11	2009	3
09N12519	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	11	2009	3
09N12523	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	12	2009	3
09N12527	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	13	2009	3
09N12546	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	16	2009	3
09N12553	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	19	2009	3
09N12559	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	20	2009	3
09N12574	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	25	2009	3
09N12577	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	25	2009	3
09N12584	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	25	2009	3
09N12588	Ken Voget	USA	NV	Torrance Ranch (7 mi N. of Beatty)	37.04	-116.73	Breeding	MAY	26	2009	3
01N7118		USA	CA	Lee Vining	37.93	-119.07	Breeding	SEP	7	2001	4
01N7121		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N7122		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N7123		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N7124		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	16	2001	4
01N7125		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	16	2001	4
01N7126		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	16	2001	4
01N7127		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	16	2001	4
01N7128		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N7129		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N7130		USA	CA	Lee Vining	37.93	-119.07	Breeding	JUN	29	2001	4
01N4476		USA	KS	Junction City	39.11	-96.83	Breeding	JUN	2	2001	5
01N4477		USA	KS	Junction City	39.11	-96.83	Breeding	JUN	24	2001	5
02N1415	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUL	2	2002	5
02N1416	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUN	6	2002	5
02N1417	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUN	6	2002	5
02N1418	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUN	23	2002	5
02N1419	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUN	23	2002	5
02N1420	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUL	14	2002	5
02N1421	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUL	22	2002	5
02N1422	IBP	USA	KS	Junction City	39.11	-96.83	Breeding	JUL	30	2002	5
97N6629		USA	KS	Junction City	39.11	-96.83	Breeding	JUL	14	1997	5
97N6628		USA	KS	Junction City	39.11	-96.83	Breeding	JUL	14	1997	5
03N6168	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUN	28	2003	6
03N6169	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUN	19	2003	6
03N6176	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUN	28	2003	6
03N6177	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUN	28	2003	6
03N6178	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUN	19	2003	6
03N6184	KEN VOGET	USA	NV	Ruby Valley	40.2	-115.48	Breeding	MAY	30	2003	6
97N6789		USA	NV	Ruby Valley	40.2	-115.48	Breeding	AUG	2	1997	6
97N6797		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6798		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6799		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6800		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6801		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
96N0277		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0278		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0279		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0280		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0281		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0282		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0283		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0284		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0285		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0291		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUN	28	1996	7
96N0299		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0300		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
05N5979	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5980	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5981	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5982	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5983	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
06N1658	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1659	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1660	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1661	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
