96N0117	0.157	0.843	
97N6723	0.043	0.957	
97N5321	0.008	0.992	
97N5322	0.002	0.998	
97N5323	0.106	0.894	
97N5324	0.010	0.990	
97N5325	0.003	0.997	
97N5327	0.253	0.747	
97N5328	0.150	0.850	
97N5329	0.190	0.810	
97N5330	0.029	0.971	
97N5331	0.114	0.886	
07N13314	0.003	0.997	
07N13315	0.003	0.997	
07N13316	0.015	0.985	
07N13317	0.004	0.996	
07N13545	0.005	0.995	
07N13546	0.050	0.950	
07N13547	0.007	0.993	
07N13548	0.012	0.988	
05N4604	0.065	0.935	
05N4605	0.013	0.987	
05N4607	0.048	0.952	
05N4608	0.022	0.978	
05N4610	0.050	0.950	
05N4624	0.004	0.996	
05N4625	0.028	0.972	
05N4627	0.005	0.995	
05N4628	0.276	0.724	
09N1347	0.226	0.774	
09N1348	0.114	0.886	
01N7123	0.003	0.997	
01N7124	0.004	0.996	
01N7125	0.092	0.908	
01N7126	0.004	0.996	
01N7127	0.142	0.858	
01N7128	0.004	0.996	
01N7129	0.011	0.989	
01N7130	0.005	0.995	
13N0516	0.045	0.955	
02N9746	0.986	0.014	
06N29507	0.993	0.007	
06N29508	0.996	0.004	
07N21016	0.997	0.003	
07N21027	0.994	0.006	
07N34099	0.997	0.003	
99N0522	0.900	0.100	
99N0524	0.994	0.006	
99N0525	0.997	0.003	
99N0526	0.987	0.013	
99N0527	0.729	0.271	
99N0528	0.990	0.010	
99N0529	0.836	0.164	
99N0530	0.994	0.006	
7038	0.993	0.007	
07N18309	0.996	0.004	
07N18343	0.617	0.383	
07N18346	0.983	0.017	
07N18356	0.978	0.022	
07N18361	0.978	0.022	
00N5172	0.217	0.783	
00N5173	0.136	0.864	
11N3234	0.194	0.806	
12N2944	0.120	0.880	
00N5171	0.307	0.693	
11N3237	0.216	0.784	
11N3238	0.153	0.847	
11N3239	0.086	0.914	
11N3240	0.055	0.945	
02N2288	0.041	0.959	
02N2289	0.003	0.997	
02N2292	0.029	0.971	
05N5315	0.005	0.995	
03N0775.	0.100	0.900	
03N0776	0.013	0.987	
03N0777	0.004	0.996	
03N0778	0.094	0.906	
03N0782	0.071	0.929	
03N0798	0.199	0.801	
03N6168	0.024	0.976	
03N6169	0.011	0.989	
03N6176	0.046	0.954	
03N6177	0.008	0.992	
03N6178	0.039	0.961	
97N6797	0.017	0.983	
97N6798	0.003	0.997	
97N6799	0.009	0.991	
97N6800	0.038	0.962	
97N6801	0.023	0.977	
97N5259	0.994	0.006	
97N5262	0.933	0.067	
97N5267	0.994	0.006	
97N5268	0.996	0.004	
97N5269	0.993	0.007	
99N0688	0.996	0.004	
00N5322	0.996	0.004	
99N1162	0.995	0.005	
06N4619	0.996	0.004	
06N4628	0.997	0.003	
06N4633	0.970	0.030	
06N4634	0.997	0.003	
06N4635	0.981	0.019	
99N1157	0.997	0.003	
99N1159	0.996	0.004	
99N1160	0.997	0.003	
99N1161	0.982	0.018	
14N0241	0.975	0.025	
14N0242	0.996	0.004	
14N0282	0.968	0.032	
14N0283	0.941	0.059	
14N0284	0.988	0.012	
14N0285	0.992	0.008	
14N0286	0.996	0.004	
15N0132	0.992	0.008	
15N0192	0.991	0.009	
08N1182	0.006	0.994	
7039	0.997	0.003	
02N8790	0.915	0.085	
02N8792	0.990	0.010	
02N8801	0.988	0.012	
02N8803	0.994	0.006	
02N8805	0.788	0.212	
02N8807	0.993	0.007	
02N8811	0.994	0.006	
02N8816	0.953	0.047	
02N8827	0.996	0.004	
02N8829	0.989	0.011	
08N23341	0.959	0.041	
05N8693	0.004	0.996	
06N0762	0.014	0.986	
06N1404	0.004	0.996	
06N1475	0.025	0.975	
07N1314	0.004	0.996	
08N1304	0.008	0.992	
08N1379	0.003	0.997	
08N1663	0.004	0.996	
08N1665	0.008	0.992	
00N5479	0.998	0.002	
00N5480	0.989	0.011	
00N5481	0.997	0.003	
00N5482	0.998	0.002	
00N5483	0.996	0.004	
00N5484	0.998	0.002	
00N5485	0.805	0.195	
00N5486	0.996	0.004	
08N22058	0.996	0.004	
10N16953	0.997	0.003	
10N16968	0.997	0.003	
96N0277	0.006	0.994	
96N0278	0.005	0.995	
96N0279	0.118	0.882	
96N0280	0.027	0.973	
96N0281	0.010	0.990	
96N0282	0.063	0.937	
96N0283	0.034	0.966	
96N0284	0.133	0.867	
96N0285	0.050	0.950	
96N0291	0.003	0.997	
96N0299	0.025	0.975	
96N0300	0.012	0.988	
01N4476	0.904	0.096	
01N4477	0.647	0.353	
02N1415	0.830	0.170	
02N1416	0.949	0.051	
02N1417	0.900	0.100	
02N1418	0.916	0.084	
02N1419	0.916	0.084	
02N1420	0.615	0.385	
02N1421	0.694	0.306	
02N1422	0.806	0.194	
97N6629	0.893	0.107	
97N6628	0.993	0.007	
06N35383	0.020	0.980	
09N17890	0.002	0.998	
09N18315	0.005	0.995	
10N16477	0.002	0.998	
10N16478	0.003	0.997	
02N1139	0.009	0.991	
02N1140	0.008	0.992	
03N4284	0.008	0.992	
03N6131	0.023	0.977	
03N6132	0.005	0.995	
04N7586	0.004	0.996	
04N7587	0.002	0.998	
04N7588	0.002	0.998	
05N5632	0.024	0.976	
09N17508	0.002	0.998	
97N6283	0.021	0.979	
97N6284	0.009	0.991	
07N28554	0.987	0.013	
07N28571	0.858	0.142	
07N28591	0.796	0.204	
07N28640	0.736	0.264	
07N28922	0.824	0.176	
08N21408	0.899	0.101	
08N21409	0.859	0.141	
08N21430	0.698	0.302	
08N21435	0.546	0.454	
08N21446	0.988	0.012	
08N21938	0.679	0.321	
7040	0.992	0.008	
98N3510	0.868	0.132	
98N3517	0.990	0.010	
98N3518	0.924	0.076	
98N3519	0.991	0.009	
98N3520	0.958	0.042	
98N3521	0.948	0.052	
00N5114	0.385	0.615	
00N5115	0.156	0.844	
00N5116	0.218	0.782	
3101	0.005	0.995	
3102	0.213	0.787	
3103	0.152	0.848	
3104	0.012	0.988	
3105	0.043	0.957	
3106	0.169	0.831	
3107	0.015	0.985	
3108	0.021	0.979	
3109	0.279	0.721	
7037	0.996	0.004	
7042	0.998	0.002	
7043	0.998	0.002	
7044	0.998	0.002	
