96N0117	0.478	0.075	0.447	
97N6723	0.806	0.027	0.167	
97N5321	0.777	0.005	0.219	
97N5322	0.989	0.002	0.009	
97N5323	0.489	0.012	0.499	
97N5324	0.961	0.008	0.031	
97N5325	0.981	0.003	0.017	
97N5327	0.294	0.013	0.692	
97N5328	0.441	0.027	0.532	
97N5329	0.388	0.014	0.598	
97N5330	0.829	0.021	0.150	
97N5331	0.442	0.007	0.551	
07N13314	0.992	0.003	0.005	
07N13315	0.991	0.003	0.006	
07N13316	0.976	0.016	0.008	
07N13317	0.991	0.003	0.006	
07N13545	0.988	0.005	0.008	
07N13546	0.943	0.048	0.009	
07N13547	0.977	0.008	0.015	
07N13548	0.973	0.014	0.013	
05N4604	0.616	0.009	0.375	
05N4605	0.982	0.010	0.008	
05N4607	0.659	0.012	0.329	
05N4608	0.933	0.033	0.034	
05N4610	0.743	0.033	0.224	
05N4624	0.991	0.003	0.006	
05N4625	0.676	0.009	0.315	
05N4627	0.990	0.004	0.006	
05N4628	0.520	0.204	0.275	
09N1347	0.737	0.235	0.027	
09N1348	0.865	0.124	0.011	
01N7123	0.989	0.002	0.009	
01N7124	0.988	0.004	0.008	
01N7125	0.898	0.091	0.011	
01N7126	0.834	0.006	0.160	
01N7127	0.722	0.119	0.159	
01N7128	0.974	0.005	0.022	
01N7129	0.818	0.015	0.166	
01N7130	0.915	0.010	0.075	
13N0516	0.737	0.012	0.250	
02N9746	0.015	0.955	0.030	
06N29507	0.008	0.969	0.023	
06N29508	0.005	0.984	0.011	
07N21016	0.003	0.992	0.005	
07N21027	0.007	0.977	0.016	
07N34099	0.003	0.993	0.004	
99N0522	0.019	0.827	0.154	
99N0524	0.007	0.974	0.019	
99N0525	0.003	0.991	0.005	
99N0526	0.013	0.937	0.051	
99N0527	0.276	0.720	0.004	
99N0528	0.008	0.978	0.014	
99N0529	0.170	0.824	0.006	
99N0530	0.007	0.984	0.009	
7038	0.006	0.980	0.014	
07N18309	0.005	0.986	0.010	
07N18343	0.376	0.610	0.014	
07N18346	0.016	0.960	0.024	
07N18356	0.012	0.932	0.056	
07N18361	0.019	0.927	0.053	
00N5172	0.719	0.213	0.068	
00N5173	0.801	0.146	0.054	
11N3234	0.633	0.100	0.266	
12N2944	0.881	0.110	0.009	
00N5171	0.557	0.257	0.186	
11N3237	0.422	0.051	0.527	
11N3238	0.795	0.173	0.032	
11N3239	0.901	0.088	0.011	
11N3240	0.685	0.018	0.298	
02N2288	0.762	0.026	0.212	
02N2289	0.991	0.003	0.006	
02N2292	0.966	0.029	0.005	
