96N0117	0.004	0.846	0.072	0.079	
97N6723	0.006	0.341	0.629	0.024	
97N5321	0.005	0.554	0.439	0.002	
97N5322	0.001	0.010	0.987	0.001	
97N5323	0.001	0.977	0.017	0.004	
97N5324	0.128	0.011	0.860	0.001	
97N5325	0.010	0.021	0.968	0.001	
97N5327	0.002	0.973	0.006	0.018	
97N5328	0.004	0.963	0.016	0.017	
97N5329	0.004	0.973	0.012	0.011	
97N5330	0.002	0.396	0.591	0.011	
97N5331	0.002	0.984	0.010	0.003	
07N13314	0.002	0.005	0.992	0.001	
07N13315	0.001	0.005	0.992	0.001	
07N13316	0.003	0.009	0.982	0.007	
07N13317	0.002	0.005	0.992	0.001	
07N13545	0.003	0.007	0.988	0.002	
07N13546	0.010	0.009	0.958	0.022	
07N13547	0.019	0.018	0.959	0.004	
07N13548	0.005	0.012	0.976	0.006	
05N4604	0.005	0.943	0.050	0.002	
05N4605	0.002	0.007	0.988	0.003	
05N4607	0.003	0.925	0.068	0.004	
05N4608	0.024	0.070	0.880	0.027	
05N4610	0.005	0.814	0.174	0.008	
05N4624	0.003	0.006	0.990	0.001	
05N4625	0.020	0.869	0.108	0.003	
05N4627	0.003	0.007	0.989	0.002	
05N4628	0.272	0.689	0.025	0.015	
09N1347	0.039	0.082	0.658	0.221	
09N1348	0.006	0.014	0.871	0.109	
01N7123	0.001	0.009	0.989	0.001	
01N7124	0.002	0.011	0.985	0.002	
01N7125	0.021	0.011	0.900	0.068	
01N7126	0.004	0.614	0.381	0.002	
01N7127	0.062	0.707	0.195	0.036	
01N7128	0.002	0.027	0.969	0.002	
01N7129	0.003	0.634	0.359	0.004	
01N7130	0.002	0.233	0.760	0.005	
13N0516	0.004	0.729	0.263	0.004	
02N9746	0.010	0.008	0.006	0.977	
06N29507	0.004	0.004	0.003	0.989	
06N29508	0.002	0.002	0.002	0.994	
07N21016	0.002	0.002	0.001	0.995	
07N21027	0.004	0.004	0.003	0.990	
07N34099	0.011	0.001	0.001	0.986	
99N0522	0.004	0.086	0.026	0.884	
99N0524	0.003	0.003	0.003	0.991	
99N0525	0.002	0.002	0.001	0.995	
99N0526	0.007	0.007	0.004	0.981	
99N0527	0.005	0.004	0.268	0.724	
99N0528	0.003	0.007	0.003	0.986	
99N0529	0.004	0.007	0.150	0.838	
99N0530	0.010	0.003	0.003	0.983	
7038	0.005	0.004	0.002	0.989	
07N18309	0.018	0.002	0.002	0.978	
07N18343	0.994	0.002	0.002	0.002	
07N18346	0.003	0.009	0.005	0.983	
07N18356	0.033	0.016	0.007	0.944	
07N18361	0.004	0.012	0.013	0.971	
00N5172	0.203	0.554	0.200	0.043	
00N5173	0.013	0.203	0.657	0.127	
11N3234	0.005	0.760	0.175	0.059	
12N2944	0.139	0.006	0.829	0.026	
00N5171	0.193	0.631	0.096	0.080	
11N3237	0.003	0.936	0.016	0.044	
11N3238	0.018	0.042	0.772	0.168	
11N3239	0.005	0.009	0.908	0.078	
11N3240	0.004	0.893	0.099	0.005	
02N2288	0.004	0.639	0.346	0.012	
02N2289	0.002	0.005	0.992	0.001	
02N2292	0.003	0.005	0.986	0.006	
05N5315	0.003	0.005	0.991	0.002	
03N0775.	0.033	0.916	0.041	0.009	
03N0776	0.005	0.082	0.895	0.018	
03N0777	0.002	0.537	0.459	0.002	
03N0778	0.013	0.096	0.804	0.087	
03N0782	0.005	0.007	0.933	0.056	
