96N0117	0.048	0.005	0.513	0.017	0.417	
97N6723	0.015	0.006	0.850	0.040	0.089	
97N5321	0.002	0.005	0.733	0.003	0.258	
97N5322	0.001	0.002	0.990	0.001	0.006	
97N5323	0.005	0.002	0.503	0.006	0.484	
97N5324	0.002	0.136	0.847	0.002	0.013	
97N5325	0.001	0.015	0.963	0.002	0.019	
97N5327	0.006	0.003	0.324	0.012	0.655	
97N5328	0.014	0.007	0.493	0.043	0.444	
97N5329	0.006	0.004	0.437	0.022	0.531	
97N5330	0.009	0.003	0.782	0.014	0.193	
97N5331	0.003	0.003	0.430	0.004	0.561	
07N13314	0.001	0.003	0.991	0.002	0.003	
07N13315	0.002	0.002	0.992	0.002	0.003	
07N13316	0.011	0.005	0.972	0.007	0.006	
07N13317	0.002	0.002	0.992	0.002	0.002	
07N13545	0.003	0.003	0.989	0.003	0.003	
07N13546	0.024	0.010	0.916	0.046	0.003	
07N13547	0.004	0.023	0.961	0.006	0.006	
07N13548	0.009	0.008	0.963	0.015	0.005	
05N4604	0.006	0.011	0.679	0.025	0.279	
05N4605	0.005	0.002	0.984	0.006	0.003	
05N4607	0.006	0.004	0.711	0.027	0.252	
05N4608	0.022	0.038	0.891	0.021	0.027	
05N4610	0.022	0.007	0.797	0.051	0.123	
05N4624	0.002	0.006	0.987	0.002	0.003	
05N4625	0.007	0.041	0.734	0.024	0.194	
05N4627	0.002	0.005	0.987	0.003	0.002	
05N4628	0.026	0.270	0.356	0.024	0.323	
09N1347	0.179	0.048	0.714	0.043	0.016	
09N1348	0.054	0.009	0.835	0.097	0.006	
01N7123	0.001	0.001	0.991	0.002	0.004	
01N7124	0.002	0.003	0.988	0.003	0.004	
01N7125	0.061	0.017	0.874	0.043	0.004	
01N7126	0.003	0.009	0.871	0.005	0.112	
01N7127	0.023	0.035	0.709	0.208	0.024	
01N7128	0.003	0.002	0.983	0.004	0.008	
01N7129	0.010	0.004	0.896	0.039	0.051	
01N7130	0.005	0.003	0.960	0.012	0.021	
13N0516	0.005	0.007	0.731	0.006	0.251	
02N9746	0.885	0.017	0.012	0.063	0.023	
06N29507	0.640	0.004	0.004	0.343	0.008	
06N29508	0.973	0.003	0.003	0.015	0.006	
07N21016	0.976	0.003	0.002	0.016	0.003	
07N21027	0.918	0.007	0.005	0.058	0.012	
07N34099	0.967	0.014	0.002	0.014	0.003	
99N0522	0.787	0.005	0.020	0.034	0.153	
99N0524	0.934	0.004	0.006	0.041	0.015	
99N0525	0.951	0.002	0.002	0.041	0.004	
99N0526	0.528	0.010	0.006	0.434	0.022	
99N0527	0.695	0.006	0.281	0.017	0.002	
99N0528	0.954	0.005	0.005	0.025	0.011	
99N0529	0.804	0.004	0.177	0.012	0.003	
99N0530	0.905	0.014	0.004	0.071	0.006	
7038	0.971	0.006	0.003	0.009	0.010	
07N18309	0.917	0.026	0.003	0.046	0.008	
07N18343	0.003	0.991	0.002	0.003	0.002	
07N18346	0.873	0.004	0.012	0.094	0.016	
07N18356	0.892	0.029	0.005	0.012	0.061	
07N18361	0.574	0.006	0.007	0.402	0.012	
00N5172	0.036	0.125	0.643	0.164	0.033	
00N5173	0.065	0.009	0.784	0.129	0.014	
11N3234	0.032	0.005	0.688	0.232	0.044	
12N2944	0.026	0.137	0.789	0.044	0.003	
00N5171	0.037	0.101	0.519	0.289	0.054	
11N3237	0.027	0.004	0.547	0.143	0.279	
11N3238	0.064	0.017	0.771	0.141	0.006	
11N3239	0.064	0.004	0.898	0.031	0.004	
11N3240	0.012	0.007	0.765	0.079	0.137	
02N2288	0.017	0.005	0.827	0.082	0.070	
02N2289	0.001	0.002	0.991	0.002	0.003	
02N2292	0.017	0.004	0.967	0.008	0.003	
05N5315	0.002	0.004	0.988	0.004	0.002	
03N0775.	0.021	0.035	0.674	0.107	0.163	
03N0776	0.019	0.005	0.920	0.020	0.036	
03N0777	0.003	0.003	0.924	0.009	0.061	
03N0778	0.032	0.012	0.830	0.111	0.015	
